Headline,Sentiment
אזעקה במרגליות שבאצבע הגליל,Negative
"רוכבת אופניים חשמליים נפגעה מרכב בחיפה, מצבה קשה",Negative
"הפרשות בלשכת רה""מ: צחי ברוורמן, ראש הסגל של נתניהו, ייחקר באזהרה בלהב 433",Negative
"אזעקה בדוב""ב שבגליל העליון",Negative
"רוכב קורקינט חשמלי נהרג מפגיעת רכב ליד עכו, שני צעירים נפצעו בינוני",Negative
אזעקה בדישון שבגליל העליון,Negative
הותר לפרסום: 6 לוחמי גולני נפלו בקרב עם מחבלים בדרום לבנון,Negative
"הפיגוע ליד מודיעין עילית: המחבל דרס ונמלט, כוחות מכתרים את הכפר הסמוך",Negative
אזעקה באביבים שבגליל העליון,Negative
ראשוני: שני פצועים קל בפיגוע ליד מודיעין עילית,Negative
"חיזבאללה קיבל אחריות על ""ירי רקטות לבסיס גלילות""",Negative
האזעקה בעוטף: זוהה שיגור אחד - שלא חצה לישראל,Negative
"פעוט נספה בשריפה במבנה ביישוב בכרמל, גבר נפגע קשה",Negative
"האזעקות באצבע הגליל: כטב""ם התפוצץ בשטח פתוח, אין נפגעים",Negative
"אישה נפגעה מאופנוע בזמן האזעקה בכפר סבא, מצבה בינוני",Negative
"האזעקות בשרון ובכרמל: כ-5 רקטות שוגרו מלבנון, חלקן יורטו",Negative
"חיזבאללה טוען: ""שיגרנו כטב""מים לקריה בת""א"". לא התקבלו דיווחים חריגים בנושא",Negative
"האירוע בצומת שילה: חשד לניסיון פיגוע דריסה. מד""א: שניים נפגעו באורח קל",Negative
"המחבל ליד שילה נוטרל, נבדק אם מדובר בפיגוע ירי או דריסה",Negative
"עיריית צפת: רקטה התפוצצה בשטח פתוח בחלקה הדרומי של העיר, ללא נפגעים",Negative
אזעקה בנתיב העשרה שבעוטף עזה,Negative
"רסיסים נפלו בגן ילדים בכפר חב""ד, הצוות והילדים התפנו למרחב המוגן ולא נפגעו",Negative
ליברמן העריך שאדלשטיין גם יפוטר: היעד - להרתיע את חוקרי הפרשות הביטחוניות,Negative
"מד""א על האזעקות ברחבי הארץ: לא אותרו נפגעים",Negative
"ראשוני: נפילה באזור נתב""ג, אין נפגעים; טיסת אל על לפריז עוכבה על המסלול",Negative
"מד""א: לא התקבלו קריאות על נפגעים בעקבות המטח למרכז ולשרון",Negative
אזעקה ברמת טראמפ שבצפון הגולן,Negative
"הפגנות נגד פיטורי גלנט: צומת רעננה נחסם, מאות תלמידים מוחים בירושלים",Negative
"מד""א על האזעקות בקריית שמונה ובסביבתה: ""אין נפגעים""",Negative
"עתירה ראשונה לבג""ץ נגד פיטורי גלנט: ""ראש הממשלה כשל""",Negative
"תחזית מזג האוויר: התחממות קלה, הטמפרטורות גבוהות מהרגיל לעונה",Negative
"עכשיוהאירוע בצומת שילה: חשד לניסיון פיגוע דריסה. מד""א: שניים נפגעו באורח קל",Negative
"שני בתים נפגעו מנפילה בגליל התחתון, שריפה פרצה בצומת גולני",Negative
"דיווח על נפילות בגליל התחתון, גבר נפצע קל משברי זכוכיות",Negative
"צרפת גינתה בחריפות את המתקפה האיראנית: ""הפעלנו את כוחותינו באזור""",Negative
"עכשיוצרפת גינתה בחריפות את המתקפה האיראנית: ""הפעלנו את כוחותינו באזור""",Negative
"בריטניה: ""סייענו למנוע הסלמה נוספת, עומדים מאחורי ישראל באופן מלא""",Negative
"המתקפה האיראנית: מועצת הביטחון של האו""ם תתכנס לדיון חירום",Negative
"שר החוץ האירופי גינה את המתקפה האיראנית: ""מחויבים לביטחון ישראל""",Negative
"שחר גולדמן נרצחה בפיגוע הירי ביפו: ""רקדנית בינלאומית ואישה מדהימה""",Negative
על רקע המתקפה האיראנית: חברת S&P הורידה את דירוג האשראי של ישראל,Negative
7 נרצחים בפיגוע ביפו: מת מפצעיו אדם נוסף,Negative
"דיווח: איראן עדכנה מדינות ערביות על התקיפה, בישראל איימו - ""נפגע במתקני הגרעין""",Negative
אחרי הפיגוע בקרון: שירותי הרכבת הקלה בגשו דן ייפתחו מחר כרגיל,Negative
"דיווח באיראן: ""המתקפה כוונה ל-3 בסיסים בישראל. נעשה שימוש בטילים היפרסוניים""",Negative
בזמן המתקפה: נתניהו שהה בבונקר בהרי ירושלים; הקבינט מכונס,Negative
"היועץ לביטחון לאומי של ארה""ב: ""עזרנו לישראל להתמודד עם המתקפה וליירט את הטילים""",Negative
אזעקה בגליל העליון,Negative
המחבלים שרצחו שישה ביפו - תושבי אזור חברון,Negative
המתקפה האיראנית: טיל התפוצץ בשטח בית ספר בגדרה,Negative
"חמאס בירך על המתקפה האיראנית: ""תגובה לתוקפנות הציונית נגד הפלסטינים והלבנונים""",Negative
פצוע אנוש וארבעה פצועים בינוני-קשה מהפיגוע ביפו מטופלים באיכילוב,Negative
"המשטרה עדכנה: 6 בני אדם נרצחו בפיגוע ביפו, 9 נוספים נפצעו",Negative
דיווח: פלסטיני מעזה נהרג מנפילת שברי טילים מאיראן ביריחו,Negative
משמרות המהפכה: ירינו ללב ישראל בתגובה למוות של הנייה ונסראללה,Negative
המשטרה: חשד לפיגוע גם בהרצליה,Negative
המתקפה האיראנית: כ-200 טילים בליסטיים שוגרו,Negative
"מנכ""ל מד""א: 8 נרצחים בפיגוע ביפו",Negative
"דיווחים על נפילות גם בנגב ובשרון, הפרטים בבדיקה",Negative
בפיגוע ביפו נרצחו 4 בני אדם ו-7 נפצעו,Negative
"מנכ""ל מד""א: 9 נפגעים בפיגוע ביפו, 4 במצב אנוש",Negative
"מד""א: מחוסרי הכרה בזירת הפיגוע בשדרות ירושלים ביפו",Negative
"חשד לפיגוע ביפו, כמה פצועים בזירה - ולפחות 2 מחבלים",Negative
"דיווח ראשוני למד""א: אירוע ירי עם נפגעים ביפו",Negative
"משרד החוץ: השר כ""ץ יקיים דיון עם שגרירי ישראל בעולם, בצל הצפי למתקפה איראנית",Negative
על רקע החשש ממתקפה איראנית: הקבינט יתכנס ב-19:30,Negative
אזעקה בגליל העליון,Negative
חיזבאללה: הדיווחים שהופצו על בחירת יורש לנסראללה - חסרי כל ערך,Negative
"רוכב אופנוע נפגע מרכב בכביש 2 ליד נתניה, מצבו אנוש",Negative
דיווח: הלוויתו של נסראללה לא תתקיים מחר,Negative
"דיווח: בחיזבאללה מתייעצים עם איראן לגבי הלווית נסראללה, גופתו תיקבר בעיראק",Negative
"מד""א על הירי לחיפה ולגליל המערבי: לא התקבלו דיווחים על נפגעים",Negative
אחרי הפגנות החרדים: כביש 4 ליד מחלף אלוף שדה נפתח לתנועה ל-2 הכיוונים,Negative
"דיווח בלבנון: ""הלווייתו של נסראללה לא תתקיים מחר""",Negative
"3 פצמ""רים התפוצצו במושב שתולה, נגרם נזק בלול ובמקלט",Negative
"הירי לעכו ולגליל המערבי: כ-35 רקטות חצו מלבנון, לא דווח על נפגעים",Negative
דיווח סעודי: הלוויתו של נסראללה תתקיים מחר,Negative
"האזעקות בצפון: חלקי מיירטים נפלו בנוף הגליל, לא דווח על נפגעים",Negative
"גבר נפגע ממכת חום בירושלים, מצבו קשה",Negative
"חשד לניסיון רצח בשדרות: צעיר נפגע מחץ של רובה צלילה, מצבו קשה מאוד",Negative
נפאל: 104 נהרגו ו-64 נעדרים בשיטפונות ומפולות בוץ,Negative
"המטח לטבריה: 5 רקטות מלבנון נפלו בשטחים פתוחים ליד הכינרת, אין נפגעים",Negative
"איראן: ""מותו של נסראללה לא יעבור ללא תגובה - לישראל אין עתיד""",Negative
"תחזית מזג האוויר: ירידה בטמפרטורות, לצד הקלה בעומסי החום",Negative
אזעקה בקריית שמונה,Negative
"שריפה פרצה בבנימין עקב פיצוץ רקטה, מד""א: לא התקבלו דיווחים על נפגעים",Negative
שני צעירים נפצעו קשה ובינוני באירוע אלימות בפוריידיס,Negative
"החות'ים: ""שיגרנו טיל בליסטי לנתב""ג בזמן נחיתת נתניהו""",Negative
"חמינאי הכריז על 5 ימי אבל באיראן: ""דרכו של נסראללה תימשך""",Negative
"מד""א על האזעקות במרכז: לא התקבלו קריאות על נפגעים, למעט חבלות בדרך לממ""ד",Negative
"מקורות ל""ניו יורק טיימס"": ""בישראל ידעו על מיקומו של נסראללה במשך חודשים""",Negative
"בחמאס התאבלו על מותו של נסראללה: ""נזכרים במסע שלו למען שחרור ירושלים""",Negative
חיזבאללה לקח אחריות על ירי 50 רקטות לגליל המערבי,Negative
"הירי לגליל המערבי: שברי מיירט נפלו במעלות, נזק נגרם לרכוש. אין נפגעים",Negative
יותר מ-80 טונות של פצצות הוטלו על הבונקר של נסראללה,Negative
"נערה כבת 17 נפגעה מרכב שסטה לשוליים בזמן האזעקה, מצבה בינוני",Negative
"שגריר ארה""ב בישראל: ""הסיכון של הסלמה אזורית רחבה יותר מחייב פעולה מיידית""",Negative
"הירי לאזור צפת: כ-45 רקטות חצו מלבנון, פגיעה ליד בית בראש פינה",Negative
אזעקה בגליל העליון,Negative
"הירי לאזור צפת: שריפות פרצו בשל נפילות בשטחים פתוחים, אין נפגעים",Negative
"מבקר המדינה ביקר בחיפה, יהב זעם: ""הממשלה לא כאן""",Negative
דיווח בלבנון: שוגרו כ-80 רקטות במטח האחרון לצפת,Negative
"מד""א: ""לא התקבלו קריאות על נפגעים""",Negative
חיזבאללה אישר רשמית שמפקד היחידה האווירית בארגון נהרג,Negative
משרד הבריאות של לבנון: 40 נהרגו היום בדרום המדינה,Negative
"צעיר כבן 20 נפצע באירוע אלימות בעוספיא, מצבו קשה",Negative
פועל נהרג לאחר שנלכד בבור ברמלה,Negative
"האזעקות בקריית שמונה: רקטה נפלה בעיר, לא ידוע על נפגעים",Negative
"אלימות השוטרים כלפי חרדים בבית שמש: 2 שוטרים נחקרו באזהרה במח""ש",Negative
"המשטרה ושב""כ: סוכל פיגוע נגד יהודים שמגיעים לקבי צדיקים בגליל",Negative
"רוכב אופנוע נפגע מרכב בטבריה, מצבו קשה",Negative
"המשטרה: 2 נפגעי חרדה במטח לעכו, מטפלים בזירת נפילה באזור",Negative
"הירי לעכו: עשרות רקטות שוגרו, חלקן יורטו",Negative
בנק ישראל: ביטול שטר ה-200 אינו עומד על הפרק,Negative
דיווח בלבנון: נפגעים בתקיפת רכב מהאוויר בדרום המדינה,Negative
