Headline,Datetime,Sentiment,Score
"צה""ל: סוכל ניסיון פיגוע דריסה בדרום הר חברון",2024-11-18T12:43:14,Positive,0.999957919
"לפיד במסר לנתניהו: ""היועמ""שית תפוטר? זה יחזיר לשולחן את שאלת הנבצרות של רה""מ""",2024-11-18T12:38:52,Negative,0.998493075
"נתניהו בוחן לראשונה את פיטורי היועמ""שית: ""קיבל ביטחון, משהו השתנה""",2024-11-18T12:17:35,Neutral,0.999017239
"מד""א על האזעקות בגליל: גבר נפצע קל מהדף",2024-11-18T12:07:49,Neutral,0.997765183
"היועמ""שית לרוטמן בוועדת החוקה: ""נדרש פורום סגור כדי להציג את מפת המודיעין""",2024-11-18T12:05:47,Negative,0.793089449
"שב""ס העביר את דובר רה""מ העצור, אלי פלדשטיין, לתא בהשגחה: ""למניעת אובדנות""",2024-11-18T11:59:40,Neutral,0.799440145
"פרו-פלסטינים טענו שפרצו למשרדי ממשלה, מערך הסייבר: ""אין השפעה על מידע פיננסי""",2024-11-18T11:51:03,Negative,0.740870535
"צה""ל: הושמדו עשרות משגרים בדרום לבנון",2024-11-18T11:34:31,Positive,0.999959111
אזעקות בקריית שמונה והסביבה,2024-11-18T11:31:11,Neutral,0.999572814
אזעקות באזור מירון בגליל העליון,2024-11-18T11:19:52,Neutral,0.999488354
"סולברג הציע בבג""ץ המעונות: מבחני התמיכה לסבסוד יפורסמו תוך חודש",2024-11-18T11:01:30,Neutral,0.674327254
"ח""כ קריב נגד רוטמן: ""היועמ""שית אשמה בפשיעה? מיניתם גזען לשר לביטחון לאומי""",2024-11-18T10:43:49,Negative,0.999870896
"ח""כ מהליכוד תקף את היועמ""שית בכנסת, באופוזיציה הגיבו: ""קואליציה מטורללת""",2024-11-18T10:37:34,Negative,0.999897838
האזעקות בגליל המערבי: אישה נפצעה קל מרסיסים,2024-11-18T10:32:26,Neutral,0.99959451
"גורם לבנוני: כ-90% מתושבי הדאחייה התפנו, נהרסו יותר בניינים מבמלחמת לבנון השנייה",2024-11-18T10:29:40,Negative,0.999785841
"אביה של ארבל החטופה בנאום מטלטל בכנסת: ""מה דורשים ממך לבצע עבור לחם?""",2024-11-18T10:24:28,Negative,0.997772992
